path,species,disease,species_id,disease_id,width,height
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_94.png,guava,anthracnose,1,1,4080,2304
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_80.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_57.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_119.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_43.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_125.png,guava,anthracnose,1,1,3000,4000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_131.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_130.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_124.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_42.png,guava,anthracnose,1,1,3024,4032
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_118.png,guava,anthracnose,1,1,3024,4032
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_56.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_81.png,guava,anthracnose,1,1,3000,4000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_95.png,guava,anthracnose,1,1,3024,4032
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_83.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_97.png,guava,anthracnose,1,1,3024,4032
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_40.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_54.png,guava,anthracnose,1,1,3000,4000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_132.png,guava,anthracnose,1,1,3000,4000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_68.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_126.png,guava,anthracnose,1,1,4000,3000
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_127.png,guava,anthracnose,1,1,3024,4032
/Users/alimran/Desktop/CSE499A/Raw_dataset/Guava_Anthracnose/guava_anthracnose_69.png,guava,anthracnose,1,1,3024,4032
